Time to main (us),Time to first frame (us),Avg build (us),Avg draw (us),Avg frame (us)
717000,771000,150,8471,8621
747000,801000,159,8445,8604
750000,804000,160,8460,8620
764000,817000,146,8399,8545
719000,772000,158,8431,8589
697000,751000,155,8446,8601
696000,750000,136,8401,8537
657000,711000,131,8375,8506
574000,628000,152,8347,8499
493000,546000,160,8377,8537
429000,482000,148,8407,8555
370000,422000,168,8408,8576
369000,422000,139,8350,8489
235000,288000,161,8369,8530
149000,202000,156,8361,8517
66000,119000,156,8340,8496
955000,1008000,149,8342,8491
864000,920000,170,8329,8499
766000,819000,157,8373,8530
678000,731000,158,8409,8567
642000,695000,150,8401,8551
587000,641000,165,8332,8497
483000,536000,161,8374,8535
395000,448000,171,8357,8528
314000,367000,142,8359,8501
224000,277000,166,8381,8547
159000,215000,139,8455,8594
160000,213000,160,8417,8577
137000,191000,166,8267,8433
982000,1035000,158,8386,8544
916000,969000,146,8361,8507
827000,880000,163,8376,8539
755000,808000,152,8351,8503
653000,705000,158,8409,8567
618000,671000,156,8403,8559
577000,631000,162,8354,8516
496000,549000,145,8349,8494
399000,452000,133,8405,8538
326000,380000,138,8398,8536
253000,307000,172,8388,8560
183000,236000,152,8412,8564
153000,206000,184,8398,8582
119000,173000,165,8391,8556
68000,121000,151,8328,8479
961000,1013000,177,8327,8504
859000,913000,144,8394,8538
801000,853000,139,8405,8544
755000,809000,147,8448,8595
746000,798000,148,8384,8532
679000,732000,139,8375,8514
