Time to main (us),Time to first frame (us),Avg build (us),Avg draw (us),Avg frame (us)
938000,993000,170,8497,8667
987000,1040000,165,8492,8657
1035000,1088000,159,8467,8626
1047000,1099000,154,8530,8684
113000,165000,159,8465,8624
119000,173000,147,8487,8634
161000,213000,154,8470,8624
166000,218000,133,8530,8663
222000,277000,130,8519,8649
286000,337000,156,8453,8609
291000,344000,181,8409,8590
271000,324000,158,8480,8638
318000,371000,150,8448,8598
300000,352000,148,8433,8581
298000,356000,155,8950,9105
878000,931000,140,8428,8568
842000,894000,164,8664,8828
76000,131000,134,8509,8643
126000,179000,155,8499,8654
188000,240000,131,8504,8635
209000,262000,147,8472,8619
232000,283000,155,8402,8557
208000,262000,136,8433,8569
199000,253000,147,8439,8586
201000,255000,165,8514,8679
254000,308000,156,8490,8646
290000,342000,140,8431,8571
253000,305000,163,8462,8625
272000,325000,156,8492,8648
314000,366000,167,8418,8585
317000,369000,148,8390,8538
275000,330000,145,8495,8640
324000,376000,148,8437,8585
291000,344000,161,8417,8578
252000,307000,145,8517,8662
333000,385000,164,8440,8604
338000,390000,204,8376,8580
311000,364000,180,8420,8600
303000,356000,158,8461,8619
305000,360000,176,8458,8634
325000,380000,157,8436,8593
316000,369000,151,8585,8736
460000,512000,165,8505,8670
538000,590000,143,8509,8652
580000,634000,165,8442,8607
590000,644000,141,8490,8631
614000,666000,148,8445,8593
619000,673000,157,8462,8619
653000,705000,155,8524,8679
715000,767000,166,8456,8622
